Date;From;To;Aircraft;STD;ATD;STA;Status
2014-07-27;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:31;20:15;Landed 20:48
2014-07-26;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:02;20:15;Landed 20:19
2014-07-25;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:49;20:15;Landed 20:11
2014-07-24;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:44;20:15;Landed 20:08
2014-07-23;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:53;20:15;Landed 19:59
2014-07-22;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:59;20:15;Scheduled 00:00
2014-07-21;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:25;20:15;Landed 20:28
2014-07-20;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:52;20:15;Landed 20:08
2014-07-19;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:08;20:15;Landed 20:16
2014-07-18;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:05;20:15;Landed 20:29
2014-07-17;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;16:34;20:15;Scheduled 00:00
2014-07-16;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:35;20:15;Landed 20:00
2014-07-15;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:41;20:15;Landed 20:46
2014-07-14;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:30;20:15;Landed 20:05
2014-07-13;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:16;20:15;Landed 20:51
2014-07-12;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:53;20:15;Landed 20:11
2014-07-11;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:56;20:15;Landed 20:03
2014-07-10;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:02;20:15;Landed 20:03
2014-07-09;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:29;20:15;Landed 19:39
2014-07-08;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:39;20:15;Landed 20:07
2014-07-07;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:18;20:15;Landed 21:00
2014-07-06;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:41;20:15;Landed 20:03
2014-07-05;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:46;20:15;Landed 20:07
2014-07-04;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:04;20:15;Landed 20:26
2014-07-03;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:56;20:15;Landed 20:12
2014-07-02;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:29;20:15;Landed 19:47
2014-07-01;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:39;20:15;Landed 19:45
2014-06-30;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:45;20:15;Landed 19:49
2014-06-29;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B77W ;12:00;12:33;20:15;Landed 19:38
2014-06-28;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:55;20:15;Landed 19:52
2014-06-27;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:03;20:15;Landed 20:17
2014-06-26;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:04;20:15;Landed 20:41
2014-06-25;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:42;20:15;Landed 21:09
2014-06-24;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:47;20:15;Landed 20:01
2014-06-23;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:05;20:15;Landed 20:13
2014-06-22;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B77W ;12:00;12:30;20:15;Landed 19:45
2014-06-21;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:40;20:15;Landed 19:56
2014-06-20;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:45;20:15;Landed 19:43
2014-06-19;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:10;20:15;Landed 20:06
2014-06-18;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:35;20:15;Landed 19:42
2014-06-17;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:42;20:15;Landed 19:41
2014-06-16;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:01;20:15;Landed 19:57
2014-06-15;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:46;20:15;Landed 19:54
2014-06-14;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:53;20:15;Landed 20:00
2014-06-13;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:14;20:15;Landed 20:29
2014-06-12;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:36;20:15;Landed 19:50
2014-06-11;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:36;20:15;Landed 20:04
2014-06-10;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;13:21;14:54;21:36;Landed 21:57
2014-06-09;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:51;14:16;21:06;Landed 21:15
2014-06-08;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:41;20:15;Landed 19:37
2014-06-07;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:16;20:15;Landed 20:06
2014-06-06;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:45;20:15;Landed 19:43
2014-06-05;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:34;20:15;Landed 19:55
2014-06-04;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:42;20:15;Landed 19:40
2014-06-03;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:34;20:15;Landed 19:49
2014-06-02;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:02;20:15;Landed 20:20
2014-06-01;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B77W ;12:00;12:31;20:15;Landed 19:44
2014-05-31;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:23;20:15;Landed 20:35
2014-05-30;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:39;20:15;Landed 19:48
2014-05-29;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:25;20:15;Landed 19:31
2014-05-28;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:33;20:15;Landed 19:43
2014-05-27;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:40;20:15;Landed 19:36
2014-05-26;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:42;20:15;Landed 19:44
2014-05-25;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:01;20:15;Landed 20:12
2014-05-24;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:58;20:15;Landed 19:57
2014-05-23;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:26;20:15;Landed 19:40
2014-05-22;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:12;20:15;Landed 20:15
2014-05-21;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:43;20:15;Landed 20:44
2014-05-20;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:33;20:15;Landed 19:23
2014-05-19;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:41;20:15;Landed 19:39
2014-05-18;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:59;20:15;Landed 19:44
2014-05-17;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:51;20:15;Landed 19:58
2014-05-16;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:38;20:15;Landed 19:51
2014-05-15;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:47;20:15;Landed 19:56
2014-05-14;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:28;20:15;Landed 19:44
