Date;From;To;Aircraft;STD;ATD;STA;Status
2014-08-13;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;12:00;-;20:15;Scheduled
2014-08-12;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;12:00;-;20:15;Scheduled
2014-08-11;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;12:00;-;20:15;Scheduled
2014-08-10;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;12:00;-;20:15;Scheduled
2014-08-09;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;12:00;-;20:15;Scheduled
2014-08-08;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;12:00;-;20:15;Scheduled
2014-08-07;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;12:00;-;20:15;Scheduled
2014-08-06;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;12:00;-;20:15;Scheduled
2014-08-05;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:57;20:15;Estimated 20:07
2014-08-04;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:32;20:15;Landed 20:48
2014-08-03;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:20;20:15;Landed 21:06
2014-08-02;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:23;20:15;Landed 21:00
2014-08-01;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:24;20:15;Landed 20:49
2014-07-31;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:42;20:15;Landed 20:03
2014-07-30;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;14:48;20:15;Landed 21:58
2014-07-29;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;13:33;20:15;Landed 20:46
2014-07-28;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;A388 ;12:00;12:55;20:15;Landed 20:14
