Date;From;To;Aircraft;STD;ATD;STA;Status
2014-08-13;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-12;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-11;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-10;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-09;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-08;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-07;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-06;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-05;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-04;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:51;01:15;Landed 01:22
2014-08-03;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:42;01:15;Landed 01:12
2014-08-02;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:54;01:15;Landed 01:36
2014-08-01;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:55;01:15;Landed 01:30
2014-07-31;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:26;01:15;Landed 00:59
2014-07-30;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:40;01:15;Landed 00:54
2014-07-29;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:50;01:15;Landed 01:13
2014-07-28;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:28;01:15;Landed 00:53
2014-07-27;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:40;01:15;Landed 01:02
2014-07-26;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:27;01:15;Landed 00:54
2014-07-25;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:36;01:15;Landed 01:04
2014-07-24;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:12;01:15;Landed 01:53
2014-07-23;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:09;01:15;Landed 01:16
2014-07-22;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:49;01:15;Landed 00:56
2014-07-21;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:36;01:15;Landed 00:38
2014-07-20;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:38;01:15;Landed 00:56
2014-07-19;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:05;01:15;Landed 01:10
2014-07-18;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:08;01:15;Landed 01:48
2014-07-17;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:35;01:15;Landed 00:57
2014-07-16;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:24;01:15;Landed 00:59
2014-07-15;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:25;01:15;Landed 01:16
2014-07-14;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:35;01:15;Landed 01:26
2014-07-13;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:38;01:15;Landed 01:12
2014-07-12;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:25;01:15;Landed 00:58
2014-07-11;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:46;01:15;Landed 00:59
